 8 2000   1.0000      0.001     0.000    -0.226   -16.920   -16.790   -13.710   -16.580   999.000    89.700     3.020     3.143    86.300    69.650   324.200     0.968     2.644   -15.990   -13.920   -13.420   -13.340   -13.670   -14.180   -15.300   -15.190   999.000   -14.890    12.470    -0.251     0.009    -0.260   259.300   -18.420   -18.950     0.017     0.023   164.000   999.000
 8 2000   1.0417      0.001     0.000    -0.128   -16.670   -16.560   -13.510   -16.360   999.000    90.000     3.427     3.821    96.500    92.800   324.700     0.967     2.643   -15.970   -13.910   -13.420   -13.330   -13.660   -14.170   -15.290   -15.180   999.000   -14.890    12.490    -0.193    -0.037    -0.158   259.500   -18.420   -18.940     0.014     0.017   165.000   999.000
 8 2000   1.0833      0.003     0.000    -0.341   -16.810   -16.720   -13.740   -16.530   999.000    89.800     5.225     5.817    95.900    94.600   325.100     0.968     2.643   -15.960   -13.910   -13.420   -13.330   -13.660   -14.160   -15.290   -15.170   999.000   -14.880    12.500    -0.331     0.063    -0.389   259.200   -18.410   -18.930     0.014     0.019   164.000   999.000
 8 2000   1.1250      0.003     0.000    -1.159   -17.660   -17.560   -14.660   -17.390   999.000    89.500     9.340    10.380    97.800    95.400   325.500     0.970     2.648   -15.960   -13.910   -13.420   -13.330   -13.650   -14.160   -15.290   -15.150   999.000   -14.880    12.500    -0.879     0.401    -1.270   258.300   -18.400   -18.920     0.020     0.028   165.000   999.000
 8 2000   1.1667      0.001     0.000    -1.309   -18.360   -18.240   -15.360   -18.080   999.000    88.900     8.530     9.490    92.800    90.900   326.100     0.971     2.652   -15.970   -13.910   -13.420   -13.330   -13.650   -14.160   -15.280   -15.140   999.000   -14.880    12.500    -0.934     0.507    -1.438   257.400   -18.400   -18.910     0.031     0.042   164.000   999.000
 8 2000   1.2083      0.000     0.000    -1.348   -18.810   -18.670   -15.790   -18.490   999.000    88.200     7.330     8.160    95.700    94.000   327.000     0.972     2.654   -15.980   -13.920   -13.430   -13.340   -13.660   -14.160   -15.290   -15.150   -15.590   -14.890    12.500    -0.967     0.522    -1.472   256.800   -18.410   -18.920     0.035     0.046   164.000   999.000
 8 2000   1.2500      0.000     0.000    -2.111   -20.020   -19.840   -16.930   -19.600   999.000    86.800     6.524     7.290    98.500    96.900   327.900     0.974     2.660   -15.980   -13.930   -13.430   -13.350   -13.660   -14.170   -15.300   -15.150   -15.580   -14.890    12.500    -1.521     0.823    -2.334   255.300   -18.410   -18.920     0.044     0.063   164.000   999.000
 8 2000   1.2917      0.002     0.000    -1.771   -20.860   -20.650   -17.820   -20.470   999.000    85.900     5.763     6.455    91.700    90.500   329.000     0.976     2.664   -15.990   -13.930   -13.440   -13.350   -13.660   -14.170   -15.310   -15.140   -15.580   -14.900    12.500    -1.181     0.784    -1.955   254.100   -18.410   -18.920     0.063     0.081   164.000   999.000
 8 2000   1.3333      0.000     0.000    -1.182   -20.500   -20.360   -17.380   -20.120   999.000    86.000     5.877     6.545   100.600    98.400   330.100     0.975     2.662   -16.000   -13.960   -13.460   -13.370   -13.690   -14.200   -15.340   -15.190   -15.640   -14.930    12.500    -0.892     0.434    -1.318   255.100   -18.430   -18.960     0.032     0.043   164.000   999.000
 8 2000   1.3750      0.000     0.000    -1.894   -22.000   -21.800   -18.810   -21.530   999.000    84.400     4.039     4.551    98.600    98.400   331.400     0.977     2.670   -16.010   -13.960   -13.460   -13.370   -13.690   -14.190   -15.340   -15.180   -15.610   -14.920    12.500    -1.418     0.713    -2.109   253.300   -18.420   -18.950     0.042     0.061   164.000   999.000
 8 2000   1.4167      0.001     0.000    -2.942   -24.280   -23.990   -21.090   -23.710   999.000    82.500     4.694     5.296    93.200    92.800   332.300     0.982     2.681   -16.000   -13.960   -13.460   -13.370   -13.670   -14.180   -15.330   -15.150   999.000   -14.910    12.500    -2.092     1.166    -3.261   250.500   -18.410   -18.930     0.065     0.093   163.000   999.000
 8 2000   1.4583      0.001     0.000    -3.391   -27.650   -27.240   -24.440   -27.000   999.000    80.000     4.249     4.934    88.000    87.100   333.300     1.057     2.699   -16.010   -13.960   -13.470   -13.370   -13.660   -14.170   -15.330   -15.130   999.000   -14.900    12.500    -2.349     1.338    -3.731   246.900   -18.410   -18.920     0.075     0.109   163.000   999.000
 8 2000   1.5000      0.001     0.000    -3.080   -30.010   -29.480   -26.810   -29.280   999.000    78.300     0.493     4.365    85.500    87.500   334.000     0.783     2.712   -16.030   -13.990   -13.490   -13.400   -13.680   -14.190   -15.350   -15.150   999.000   -14.920    12.500    -2.094     1.265    -3.388   244.500   -18.420   -18.940     0.083     0.116   162.000   999.000
 8 2000   1.5417      0.002     0.001    -2.853   -31.560   -31.190   -28.340   -30.930   999.000    76.900     3.305     5.126    84.200    82.600   334.600     0.400     2.722   -16.060   -14.030   -13.530   -13.440   -13.720   -14.230   -15.390   -15.200   999.000   -14.960    12.500    -1.934     1.193    -3.139   243.100   -18.440   -18.980     0.074     0.102   162.000   999.000
 8 2000   1.5833      0.027     0.022    -2.472   -32.100   -31.820   -28.910   -31.570   999.000    76.400     4.915     6.099    85.100    83.300   335.300     0.509     2.726   -16.090   -14.060   -13.560   -13.470   -13.770   -14.270   -15.430   -15.240   999.000   -15.000    12.500    -1.549     1.170    -2.741   242.900   -18.470   -19.010     0.062     0.085   161.000   999.000
 8 2000   1.6250      0.056     0.047    -2.314   -31.630   -31.450   -28.420   -31.130   999.000    76.700     6.731     7.520    88.300    86.300   335.800     0.635     2.723   -16.110   -14.090   -13.580   -13.490   -13.810   -14.310   -15.470   -15.300   999.000   -15.050    12.540    -1.416     1.145    -2.586   244.300   -18.490   -19.060     0.023     0.042   160.000   999.000
 8 2000   1.6667      0.066     0.054    -2.163   -31.500   -31.310   -28.280   -30.980   999.000    77.000     6.575     7.380    87.800    85.800   336.400     0.711     2.722   -16.120   -14.100   -13.590   -13.500   -13.820   -14.320   -15.490   -15.320   -15.960   -15.060    12.550    -1.316     1.060    -2.385   244.700   -18.500   -19.070     0.006     0.026   160.000   999.000
 8 2000   1.7083      0.021     0.017    -1.979   -32.650   -32.450   -29.380   -32.140   999.000    75.900     5.085     5.760    92.400    90.800   336.900     0.420     2.728   -16.110   -14.100   -13.590   -13.500   -13.810   -14.310   -15.480   -15.300   999.000   -15.050    12.520    -1.294     0.839    -2.133   243.200   -18.490   -19.060     0.023     0.045   160.000   999.000
 8 2000   1.7500      0.003     0.002    -1.745   -32.900   -32.660   -29.630   -32.360   999.000    75.700     5.082     5.764    90.900    89.600   337.400     0.409     2.729   -16.120   -14.100   -13.590   -13.500   -13.820   -14.310   -15.490   -15.300   999.000   -15.060    12.510    -1.143     0.709    -1.859   242.300   -18.490   -19.070     0.038     0.062   160.000   999.000
 8 2000   1.7917      0.000     0.000    -1.560   -33.040   -32.790   -29.760   -32.440   999.000    75.500     5.107     5.771    90.900    89.800   338.000     0.418     2.730   -16.130   -14.110   -13.610   -13.510   -13.830   -14.320   -15.500   -15.320   -15.790   -15.070    12.500    -1.060     0.606    -1.636   242.500   -18.500   -19.080     0.033     0.057   160.000   999.000
 8 2000   1.8333      0.001     0.000    -1.179   -33.730   -33.500   -30.540   -33.270   999.000    74.900     4.858     5.510    92.600    91.500   338.500     0.502     2.735   -16.130   -14.120   -13.610   -13.520   -13.830   -14.320   -15.500   -15.310   999.000   -15.070    12.500    -0.767     0.496    -1.231   241.900   -18.500   -19.080     0.036     0.054   160.000   999.000
 8 2000   1.8750      0.001     0.000    -0.282   -31.620   -31.530   -28.460   -31.280   999.000    76.800     5.592     6.216    95.500    94.000   339.100     0.421     2.723   -16.150   -14.140   -13.630   -13.540   -13.860   -14.360   -15.540   -15.370   999.000   -15.100    12.490    -0.162     0.143    -0.308   244.400   -18.520   -19.110     0.025     0.028   160.000   999.000
 8 2000   1.9167      0.001     0.000    -0.170   -30.910   -30.900   -27.620   -30.580   999.000    77.300     5.007     5.522   116.800   116.200   340.100     0.507     2.719   -16.150   -14.140   -13.640   -13.540   -13.880   -14.370   -15.550   -15.390   999.000   -15.110    12.500    -0.189    -0.008    -0.183   245.600   -18.510   -19.110    -0.004    -0.004   160.000   999.000
 8 2000   1.9583      0.000     0.000    -1.212   -32.940   -32.810   -29.560   -32.460   999.000    75.400     3.391     3.780   107.800   112.800   340.900     0.781     2.729   -16.120   -14.120   -13.610   -13.510   -13.830   -14.320   -15.510   -15.310   999.000   -15.070    12.490    -0.911     0.384    -1.267   243.100   -18.500   -19.080     0.003     0.023   161.000   999.000
